sku_id,dt,price_change_prob
206942,2025-05-01,0.855209371287178
231023,2025-05-01,0.8562479602127547
231028,2025-05-01,0.8562479602127547
231035,2025-05-01,0.855209371287178
231478,2025-05-01,0.8554949500709329
290461,2025-05-01,0.8554949500709329
293418,2025-05-01,0.8494742406050718
362424,2025-05-01,0.8494742406050718
411164,2025-05-01,0.8527841790907941
411166,2025-05-01,0.8527841790907941
528619,2025-05-01,0.8494742406050718
528625,2025-05-01,0.8494742406050718
845278,2025-05-01,0.8578839797218617
845321,2025-05-01,0.8527841790907941
845323,2025-05-01,0.8527841790907941
879386,2025-05-01,0.8554949500709329
879388,2025-05-01,0.8554949500709329
909717,2025-05-01,0.8554949500709329
909718,2025-05-01,0.8554949500709329
1032832,2025-05-01,0.8554949500709329
1032833,2025-05-01,0.8554949500709329
1032834,2025-05-01,0.8554949500709329
1032854,2025-05-01,0.8578839797218617
1038234,2025-05-01,0.8554949500709329
1039780,2025-05-01,0.8554949500709329
1039867,2025-05-01,0.8562479602127547
1039868,2025-05-01,0.8554949500709329
1071847,2025-05-01,0.855209371287178
1184675,2025-05-01,0.8554949500709329
1184678,2025-05-01,0.8554949500709329
1184681,2025-05-01,0.8554949500709329
1280273,2025-05-01,0.8554949500709329
1529386,2025-05-01,0.8554949500709329
1540110,2025-05-01,0.8554949500709329
1540172,2025-05-01,0.8554949500709329
1742027,2025-05-01,0.8554949500709329
2461038,2025-05-01,0.8554949500709329
2461301,2025-05-01,0.8554949500709329
2646498,2025-05-01,0.8554949500709329
2795972,2025-05-01,0.8494742406050718
3334330,2025-05-01,0.8478216647929768
3674837,2025-05-01,0.8554949500709329
3674839,2025-05-01,0.8554949500709329
3895219,2025-05-01,0.8554949500709329
3907301,2025-05-01,0.8527841790907941
3919595,2025-05-01,0.8554949500709329
4131809,2025-05-01,0.8548926996199531
4486428,2025-05-01,0.8554949500709329
4486444,2025-05-01,0.8554949500709329
4486466,2025-05-01,0.8554949500709329
4486478,2025-05-01,0.8554949500709329
4510086,2025-05-01,0.8562479602127547
4535404,2025-05-01,0.8554949500709329
4713934,2025-05-01,0.8494742406050718
4961950,2025-05-01,0.8548926996199531
5840803,2025-05-01,0.8494742406050718
5840837,2025-05-01,0.8494742406050718
5851301,2025-05-01,0.8578839797218617
5915642,2025-05-01,0.8478216647929768
5950572,2025-05-01,0.8554949500709329
6380569,2025-05-01,0.8494742406050718
6380571,2025-05-01,0.8494742406050718
6380589,2025-05-01,0.8494742406050718
6864556,2025-05-01,0.8554949500709329
6930866,2025-05-01,0.8554949500709329
7434016,2025-05-01,0.8494742406050718
7648521,2025-05-01,0.8527841790907941
8209916,2025-05-01,0.8554949500709329
8209934,2025-05-01,0.8554949500709329
8209936,2025-05-01,0.8554949500709329
8209940,2025-05-01,0.8554949500709329
8209962,2025-05-01,0.8554949500709329
8307755,2025-05-01,0.8554949500709329
8421837,2025-05-01,0.8554949500709329
8421845,2025-05-01,0.8554949500709329
8526452,2025-05-01,0.8554949500709329
8545329,2025-05-01,0.8554949500709329
8755672,2025-05-01,0.8494742406050718
10700890033,2025-05-01,0.8554949500709329
34294684846,2025-05-01,0.8554949500709329
66148160288,2025-05-01,0.8554949500709329
69306580356,2025-05-01,0.8494742406050718
69487371426,2025-05-01,0.8554949500709329
100000318251,2025-05-01,0.8494742406050718
100000671417,2025-05-01,0.8554949500709329
100000671427,2025-05-01,0.8554949500709329
100001202539,2025-05-01,0.8554949500709329
100002323621,2025-05-01,0.8548926996199531
100002727342,2025-05-01,0.8494742406050718
100003034205,2025-05-01,0.8494742406050718
100005270502,2025-05-01,0.8554949500709329
100005873819,2025-05-01,0.8494742406050718
100006043908,2025-05-01,0.8578839797218617
100006938017,2025-05-01,0.8554949500709329
100007147103,2025-05-01,0.8578839797218617
100007178233,2025-05-01,0.8548926996199531
100007310036,2025-05-01,0.855209371287178
100008366733,2025-05-01,0.8554949500709329
100008366749,2025-05-01,0.8554949500709329
100008766160,2025-05-01,0.8554949500709329
100008817605,2025-05-01,0.8556702269737186
100008959723,2025-05-01,0.8554949500709329
100009388168,2025-05-01,0.8554949500709329
100009897581,2025-05-01,0.8554949500709329
100010234342,2025-05-01,0.8562479602127547
100010577141,2025-05-01,0.8578839797218617
100010797166,2025-05-01,0.8494742406050718
100011423920,2025-05-01,0.855209371287178
100011433086,2025-05-01,0.8554949500709329
100011698820,2025-05-01,0.855209371287178
100011881946,2025-05-01,0.8554949500709329
100012242858,2025-05-01,0.8554949500709329
100012797322,2025-05-01,0.8494742406050718
100012797340,2025-05-01,0.8554949500709329
100012808554,2025-05-01,0.8527841790907941
100014256784,2025-05-01,0.8554949500709329
100014962868,2025-05-01,0.8554949500709329
100015189638,2025-05-01,0.8554949500709329
100015344592,2025-05-01,0.8578839797218617
100015645334,2025-05-01,0.8554949500709329
100017084069,2025-05-01,0.8548926996199531
100018704177,2025-05-01,0.855209371287178
100018842722,2025-05-01,0.8554949500709329
100018973436,2025-05-01,0.8554949500709329
100019498134,2025-05-01,0.8554949500709329
100019787561,2025-05-01,0.8554949500709329
100020638562,2025-05-01,0.8554949500709329
100023527711,2025-05-01,0.8554949500709329
100023527729,2025-05-01,0.8554949500709329
100024848970,2025-05-01,0.8554949500709329
100024851621,2025-05-01,0.8494742406050718
100024851705,2025-05-01,0.8494742406050718
100024851809,2025-05-01,0.8494742406050718
100024864852,2025-05-01,0.8494742406050718
100025429398,2025-05-01,0.8554949500709329
100025429436,2025-05-01,0.8554949500709329
100025429956,2025-05-01,0.8494742406050718
100026719206,2025-05-01,0.8554949500709329
100028415103,2025-05-01,0.855209371287178
100029374348,2025-05-01,0.8527841790907941
100030771718,2025-05-01,0.8554949500709329
100030771720,2025-05-01,0.8554949500709329
100032140543,2025-05-01,0.8478216647929768
100033194536,2025-05-01,0.8554949500709329
100033194540,2025-05-01,0.8554949500709329
100033194582,2025-05-01,0.8554949500709329
100033194590,2025-05-01,0.8554949500709329
100033331822,2025-05-01,0.8494742406050718
100033331842,2025-05-01,0.8478216647929768
100034243272,2025-05-01,0.8554949500709329
100034533525,2025-05-01,0.8494742406050718
100035403264,2025-05-01,0.9068662488934643
100035494430,2025-05-01,0.8554949500709329
100035733016,2025-05-01,0.8554949500709329
100035921329,2025-05-01,0.8554949500709329
100035921331,2025-05-01,0.8554949500709329
100036378791,2025-05-01,0.8578839797218617
100037338174,2025-05-01,0.8554949500709329
100037338184,2025-05-01,0.8554949500709329
100037438244,2025-05-01,0.8494742406050718
100039034588,2025-05-01,0.8494742406050718
100039735595,2025-05-01,0.8494742406050718
100040684023,2025-05-01,0.8494742406050718
100041006407,2025-05-01,0.8554949500709329
100041192960,2025-05-01,0.8494742406050718
100041650013,2025-05-01,0.8554949500709329
100045910485,2025-05-01,0.8494742406050718
100048469601,2025-05-01,0.8478216647929768
100050983363,2025-05-01,0.8478216647929768
10025765269372,2025-05-01,0.8554949500709329
10037621290748,2025-05-01,0.8554949500709329
10043211463452,2025-05-01,0.8554949500709329
10056315631534,2025-05-01,0.8554949500709329
10061685991750,2025-05-01,0.8554949500709329
10066546386346,2025-05-01,0.8554949500709329
