dt,sku_id,year,month,day,weekday,quarter,is_weekend,is_month_start,is_promotion_period,is_double_12,is_before_promotion,is_after_promotion,discount_price_change,discount_price_change_pct,discount_price_change_abs,discount_price_mean_7,discount_price_std_7,discount_price_min_7,discount_price_max_7,discount_price_trend_7,discount_price_lag_1,discount_price_lag_3,discount_price_lag_7,discount_price_lag_14,discount_price_lag_30,discount_price_change_lag_1,discount_price_change_lag_3,discount_price_change_lag_7,discount_price_change_lag_14,discount_price_change_lag_30,discount_price_promo_interaction,promo_freq_7,promo_freq_30,trend,yearly,weekly,yhat,yhat_lower,yhat_upper,yhat_diff
2025-05-01,206942,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,13.072380952380952,1.1539108302124705,11.086666666666666,13.8,0,13.8,13.8,13.8,13.8,13.8,0,0,0,0,0,0,0,0,12.053595453245876,-0.0310438891813488,-0.015064343157004,0,0,0,0
2025-05-01,231023,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.785714285714285,0.1807015805810496,16.5,16.9,0,16.9,16.9,16.5,16.5,16.5,0,0,0,0,0,0,0,0,16.75260394651624,-0.0223942210001939,0.0187802951376336,0,0,0,0
2025-05-01,231028,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,23.871428571428574,0.0451753951452616,23.8,23.9,0,23.8,23.9,23.9,23.9,23.9,0,0,0,0,0,0,0,0,22.37354424504325,1.0419090584668604,-0.2113164764363621,0,0,0,0
2025-05-01,231035,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.368857142857145,1.3010289805239788,13.182,16.9,0,13.182,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,17.984790200472588,-0.5408161626621539,-0.197993476144159,0,0,0,0
2025-05-01,231478,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,36.9,0.0,36.9,36.9,0,36.9,36.9,36.9,36.9,36.9,0,0,0,0,0,0,0,0,34.97167038534779,0.5971783872106093,0.8252213355685627,0,0,0,0
2025-05-01,290461,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,24.900000000000002,3.552713678800501e-15,24.9,24.9,0,24.9,24.9,24.9,24.9,24.9,0,0,0,0,0,0,0,0,24.588695014110268,2.929033025976882,-0.164256815162086,0,0,0,0
2025-05-01,293418,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,60.357142857142854,2.936400684442067,58.5,65.0,0,65.0,58.5,65.0,65.0,65.0,0,0,0,0,0,0,0,0,63.30719634079396,1.4226624848444225,0.190684082270084,0,0,0,0
2025-05-01,362424,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,61.285714285714285,3.2166657854850573,58.5,65.0,0,65.0,58.5,65.0,65.0,65.0,0,0,0,0,0,0,0,0,63.4490348754557,1.1311181349135586,0.1124826872504161,0,0,0,0
2025-05-01,411164,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.396394285714287,1.6368672308743322,14.27738,17.8,0,17.8,17.8,17.8,17.8,17.8,0,0,0,0,0,0,0,0,15.541620791125506,-0.5259017763492512,0.1801662332641291,0,0,0,0
2025-05-01,411166,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.376258571428572,1.6630344799292869,14.206905,17.8,0,17.8,17.8,17.8,17.8,17.8,0,0,0,0,0,0,0,0,13.709565384699255,0.703508122724021,-0.0775701567485176,0,0,0,0
2025-05-01,528619,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,108.42857142857143,5.691024082012024,103.5,115.0,0,115.0,103.5,115.0,115.0,115.0,0,0,0,0,0,0,0,0,109.0414408061271,3.092641361416102,0.461341845665495,0,0,0,0
2025-05-01,528625,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,106.78571428571429,5.195170441705195,103.5,115.0,0,115.0,103.5,115.0,115.0,115.0,0,0,0,0,0,0,0,0,108.47246641171748,3.759473750645757,-0.2763741171938434,0,0,0,0
2025-05-01,845278,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,6.2221198156682025,0.4719898591586379,5.20483870967742,6.5,0,6.5,6.5,6.5,6.5,6.5,0,0,0,0,0,0,0,0,6.1160442488868,0.0187082365455956,-0.0491402357852397,0,0,0,0
2025-05-01,845321,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,15.91047619047619,1.355613173006935,13.453333333333337,16.8,0,16.7,16.8,16.7,16.7,16.7,0,0,0,0,0,0,0,0,15.726435190011625,0.0062959685702123,0.0299034845000325,0,0,0,0
2025-05-01,845323,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,15.91047619047619,1.355613173006935,13.453333333333337,16.8,0,16.7,16.8,16.7,16.7,16.7,0,0,0,0,0,0,0,0,15.896536244765109,-0.6514122676280443,0.1455979597656266,0,0,0,0
2025-05-01,879386,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,11.5,0.0,11.5,11.5,0,11.5,11.5,11.5,11.5,11.5,0,0,0,0,0,0,0,0,10.885130935930473,-0.0881105802035495,0.132810997262363,0,0,0,0
2025-05-01,879388,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.900000000000002,1.7763568394002505e-15,10.9,10.9,0,10.9,10.9,10.9,10.9,10.9,0,0,0,0,0,0,0,0,12.22828687978734,0.3738245826724387,-0.4179126978092028,0,0,0,0
2025-05-01,909717,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,12.900000000000002,1.7763568394002505e-15,12.9,12.9,0,12.9,12.9,12.9,12.9,12.9,0,0,0,0,0,0,0,0,12.826696613400369,0.0975741542332503,-0.0458969707934234,0,0,0,0
2025-05-01,909718,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,12.900000000000002,1.7763568394002505e-15,12.9,12.9,0,12.9,12.9,12.9,12.9,12.9,0,0,0,0,0,0,0,0,12.905609153969484,0.0049387147138761,-0.0286833471322549,0,0,0,0
2025-05-01,1032832,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,11.900000000000002,1.7763568394002505e-15,11.9,11.9,0,11.9,11.9,11.9,11.9,11.9,0,0,0,0,0,0,0,0,11.864342133312038,0.2659929525855964,0.1293845587632323,0,0,0,0
2025-05-01,1032833,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,29.900000000000002,3.552713678800501e-15,29.9,29.9,0,29.9,29.9,29.9,29.9,29.9,0,0,0,0,0,0,0,0,29.597927552761213,-0.7595185805109775,-0.0936702686672346,0,0,0,0
2025-05-01,1032834,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,36.9,0.0,36.9,36.9,0,36.9,36.9,36.9,36.9,36.9,0,0,0,0,0,0,0,0,33.6184790183703,0.5380669621695572,0.2361078659613146,0,0,0,0
2025-05-01,1032854,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,21.72857142857143,0.2710523708715744,21.3,21.9,0,21.3,21.9,21.9,21.9,21.9,0,0,0,0,0,0,0,0,22.0149396054952,-0.5052462212644627,-0.1255033762635291,0,0,0,0
2025-05-01,1038234,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,23.900000000000002,3.552713678800501e-15,23.9,23.9,0,23.9,23.9,23.9,23.9,23.9,0,0,0,0,0,0,0,0,24.71441239946635,-0.2067166599919055,-0.1769616840365955,0,0,0,0
2025-05-01,1039780,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,17.900000000000002,3.552713678800501e-15,17.9,17.9,0,17.9,17.9,17.9,17.9,17.9,0,0,0,0,0,0,0,0,20.47540473527157,-1.885077942777853,-0.5336454306920954,0,0,0,0
2025-05-01,1039867,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,76.72857142857143,0.19794866372216022,76.5,76.9,0,76.9,76.5,76.9,76.9,76.9,0,0,0,0,0,0,0,0,77.6419089451216,-1.4447812567276224,-0.1344070455964679,0,0,0,0
2025-05-01,1039868,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,76.89999999999999,1.4210854715202004e-14,76.9,76.9,0,76.9,76.9,76.9,76.9,76.9,0,0,0,0,0,0,0,0,78.09338312591804,-2.081375186757153,0.0251914355216673,0,0,0,0
2025-05-01,1071847,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,13.059523809523808,1.1726004591226693,11.086666666666666,13.8,0,13.8,13.8,13.8,13.8,13.8,0,0,0,0,0,0,0,0,13.040169026587716,-0.3358516613053241,-0.0156634955134507,0,0,0,0
2025-05-01,1184675,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,39.9,0.0,39.9,39.9,0,39.9,39.9,39.9,39.9,39.9,0,0,0,0,0,0,0,0,46.2315065642378,0.3494591594577454,0.053940620056529,0,0,0,0
2025-05-01,1184678,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,39.9,0.0,39.9,39.9,0,39.9,39.9,39.9,39.9,39.9,0,0,0,0,0,0,0,0,39.73565592470506,2.1973283801024714,-1.227067340296058,0,0,0,0
2025-05-01,1184681,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,39.9,0.0,39.9,39.9,0,39.9,39.9,39.9,39.9,39.9,0,0,0,0,0,0,0,0,37.62310649102632,-0.9088191548439924,-1.3169977920031986,0,0,0,0
2025-05-01,1280273,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.900000000000002,1.7763568394002505e-15,10.9,10.9,0,10.9,10.9,10.9,10.9,10.9,0,0,0,0,0,0,0,0,10.17066349228125,-0.158845333030094,-0.1084142218969379,0,0,0,0
2025-05-01,1529386,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.1,0.0,10.1,10.1,0,10.1,10.1,10.1,10.1,10.1,0,0,0,0,0,0,0,0,9.16740979249106,-0.2371372654044006,-0.0227617919327334,0,0,0,0
2025-05-01,1540110,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,12.299999999999999,1.7763568394002505e-15,12.3,12.3,0,12.3,12.3,12.3,12.3,12.3,0,0,0,0,0,0,0,0,10.969190620734844,-0.0199418945827027,0.0186150367674316,0,0,0,0
2025-05-01,1540172,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.1,0.0,10.1,10.1,0,10.1,10.1,10.1,10.1,10.1,0,0,0,0,0,0,0,0,9.121454763384158,-0.1526460667573916,-0.0958454668442496,0,0,0,0
2025-05-01,1742027,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,83.89999999999999,1.4210854715202004e-14,83.9,83.9,0,83.9,83.9,83.9,83.9,83.9,0,0,0,0,0,0,0,0,82.10836042163274,0.0653920850456537,-0.1617865099627639,0,0,0,0
2025-05-01,2461038,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,23.5,0.0,23.5,23.5,0,23.5,23.5,23.5,23.5,23.5,0,0,0,0,0,0,0,0,25.113372159309677,-0.0959137265839843,-1.8699556200017449,0,0,0,0
2025-05-01,2461301,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,30.900000000000002,3.552713678800501e-15,30.9,30.9,0,30.9,30.9,30.9,30.9,30.9,0,0,0,0,0,0,0,0,28.70809017871013,1.6787693745448045,-0.2480305875177962,0,0,0,0
2025-05-01,2646498,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,139.9,0.0,139.9,139.9,0,139.9,139.9,139.9,139.9,139.9,0,0,0,0,0,0,0,0,136.70622537906374,2.534030302168395,0.9740575776194652,0,0,0,0
2025-05-01,2795972,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,101.90285714285713,4.738898950738046,94.41,104.9,0,104.9,104.9,104.9,104.9,104.9,0,0,0,0,0,0,0,0,118.1332169876673,-0.0274817465439004,-0.9277345742105828,0,0,0,0
2025-05-01,3334330,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,23.58709142857143,1.960906383395398,19.78964,24.8,0,24.8,24.8,24.8,24.8,24.8,0,0,0,0,0,0,0,0,24.624480998592983,-0.3716724575492013,-0.1890253989751145,0,0,0,0
2025-05-01,3674837,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,30.900000000000002,3.552713678800501e-15,30.9,30.9,0,30.9,30.9,30.9,30.9,30.9,0,0,0,0,0,0,0,0,29.913671048765284,-1.6806684175067628,0.0607595058849387,0,0,0,0
2025-05-01,3674839,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,39.9,0.0,39.9,39.9,0,39.9,39.9,39.9,39.9,39.9,0,0,0,0,0,0,0,0,44.22327031788151,3.485071560767521,-0.3412409489857942,0,0,0,0
2025-05-01,3895219,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,60.89999999999999,7.105427357601002e-15,60.9,60.9,0,60.9,60.9,60.9,60.9,60.9,0,0,0,0,0,0,0,0,52.90424635368129,6.945926537029348,-0.5112733744064659,0,0,0,0
2025-05-01,3907301,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,50.92285714285714,1.6236617723591353,50.26,54.9,0,50.26,50.26,54.9,54.9,54.9,0,0,0,0,0,0,0,0,63.15037677898272,-0.8835099169319547,0.913714350876989,0,0,0,0
2025-05-01,3919595,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,89.89999999999999,1.4210854715202004e-14,89.9,89.9,0,89.9,89.9,89.9,89.9,89.9,0,0,0,0,0,0,0,0,80.58109908219947,5.668718019982154,-1.5077215194622595,0,0,0,0
2025-05-01,4131809,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.364387142857142,0.8604372123638123,8.74071,10.9,0,10.9,10.9,10.9,10.9,10.9,0,0,0,0,0,0,0,0,9.828543215975213,0.2237627330720784,0.0224742291344773,0,0,0,0
2025-05-01,4486428,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,59.800000000000004,7.105427357601002e-15,59.8,59.8,0,59.8,59.8,59.8,59.8,59.8,0,0,0,0,0,0,0,0,67.77210925667394,2.0657968122844954,-1.2186934629988078,0,0,0,0
2025-05-01,4486444,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,60.89999999999999,7.105427357601002e-15,60.9,60.9,0,60.9,60.9,60.9,60.9,60.9,0,0,0,0,0,0,0,0,64.5075418576977,-3.3096416750954463,0.4759646889041377,0,0,0,0
2025-05-01,4486466,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,59.89999999999999,7.105427357601002e-15,59.9,59.9,0,59.9,59.9,59.9,59.9,59.9,0,0,0,0,0,0,0,0,66.48425313719898,2.830709217401433,-1.0215455947503769,0,0,0,0
2025-05-01,4486478,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.900000000000002,3.552713678800501e-15,16.9,16.9,0,16.9,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,16.905273522832893,-0.0574113473188606,0.0911809307080555,0,0,0,0
2025-05-01,4510086,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,69.88571428571427,0.03499271061119125,69.8,69.9,0,69.9,69.9,69.9,69.9,69.9,0,0,0,0,0,0,0,0,73.67598635347639,-2.6297123050162816,-1.3159975669483597,0,0,0,0
2025-05-01,4535404,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,72.89999999999999,1.4210854715202004e-14,72.9,72.9,0,72.9,72.9,72.9,72.9,72.9,0,0,0,0,0,0,0,0,78.85717980967192,6.294876056263187,-0.7470717210018883,0,0,0,0
2025-05-01,4713934,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,77.77285714285713,2.7609248672227538,71.01,78.9,0,78.9,78.9,78.9,78.9,78.9,0,0,0,0,0,0,0,0,85.49102418371038,-3.8569483388728334,0.3491123903978173,0,0,0,0
2025-05-01,4961950,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.055917142857142,0.9903704588358307,8.74071,10.9,0,10.9,10.9,10.9,10.9,10.9,0,0,0,0,0,0,0,0,10.384635693915728,0.1942249032159811,-0.0538611490758852,0,0,0,0
2025-05-01,5840803,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,33.42666666666667,2.494078701931551,28.076666666666664,34.9,0,34.9,34.9,34.9,34.9,34.9,0,0,0,0,0,0,0,0,39.052507759467005,-2.4756620071815867,-1.128775677001049,0,0,0,0
2025-05-01,5840837,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,31.496109999999998,2.3833687487671726,26.36277,32.9,0,32.9,32.9,32.9,32.9,32.9,0,0,0,0,0,0,0,0,38.67888945122401,-1.9663828719144003,0.2736594445328536,0,0,0,0
2025-05-01,5851301,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,79.77142857142857,0.31493439550069624,79.0,79.9,0,79.9,79.9,79.0,79.0,79.0,0,0,0,0,0,0,0,0,80.43001726220987,1.7741247369332631,-1.0332006468100208,0,0,0,0
2025-05-01,5915642,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,28.637551020408164,2.137178968685103,24.052857142857142,29.9,0,29.9,29.9,29.9,29.9,29.9,0,0,0,0,0,0,0,0,40.0994811906328,-4.748879611226205,0.7520188866272592,0,0,0,0
2025-05-01,5950572,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,33.9,0.0,33.9,33.9,0,33.9,33.9,33.9,33.9,33.9,0,0,0,0,0,0,0,0,33.929943948014056,0.8050995174256306,-0.2562418958905115,0,0,0,0
2025-05-01,6380569,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,80.14285714285714,4.206409104095845,76.5,85.0,0,85.0,76.5,85.0,85.0,85.0,0,0,0,0,0,0,0,0,75.36745113412216,4.356637661084424,0.1570543124787771,0,0,0,0
2025-05-01,6380571,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,78.92857142857143,3.8399085873473178,76.5,85.0,0,85.0,76.5,85.0,85.0,85.0,0,0,0,0,0,0,0,0,79.45721606945068,2.557298976783388,0.234033046426427,0,0,0,0
2025-05-01,6380589,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,77.71428571428571,2.974380401951002,76.5,85.0,0,76.5,76.5,85.0,85.0,85.0,0,0,0,0,0,0,0,0,75.2877236521369,4.213261842250484,0.0854084425618228,0,0,0,0
2025-05-01,6864556,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,99.89999999999999,1.4210854715202004e-14,99.9,99.9,0,99.9,99.9,99.9,99.9,99.9,0,0,0,0,0,0,0,0,91.72122513665332,-1.9487799576928784,-0.5997202015565729,0,0,0,0
2025-05-01,6930866,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,81.89999999999999,1.4210854715202004e-14,81.9,81.9,0,81.9,81.9,81.9,81.9,81.9,0,0,0,0,0,0,0,0,97.3138452026134,5.555619513839183,0.4211215056861189,0,0,0,0
2025-05-01,7434016,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,37.042857142857144,4.5175395145262565,29.9,39.9,0,39.9,29.9,39.9,39.9,39.9,0,0,0,0,0,0,0,0,38.77256068152575,2.0227120156798333,-0.6767945479990742,0,0,0,0
2025-05-01,7648521,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,22.042857142857144,1.355261854357877,19.9,22.9,0,22.9,19.9,22.9,22.9,22.9,0,0,0,0,0,0,0,0,23.194575612418628,-0.1428319889065717,0.1308834320401319,0,0,0,0
2025-05-01,8209916,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,44.60000000000001,7.105427357601002e-15,44.6,44.6,0,44.6,44.6,44.6,44.6,44.6,0,0,0,0,0,0,0,0,45.99328512343449,3.834296801962629,-0.2592873473412969,0,0,0,0
2025-05-01,8209934,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,89.17999999999999,1.4210854715202004e-14,89.18,89.18,0,89.18,89.18,89.18,89.18,89.18,0,0,0,0,0,0,0,0,82.74115351754371,10.129223677444791,-0.129145135150354,0,0,0,0
2025-05-01,8209936,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,32.82,0.0,32.82,32.82,0,32.82,32.82,32.82,32.82,32.82,0,0,0,0,0,0,0,0,35.69644290068745,3.5833708628131355,-0.3772336988031668,0,0,0,0
2025-05-01,8209940,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,41.0,0.0,41.0,41.0,0,41.0,41.0,41.0,41.0,41.0,0,0,0,0,0,0,0,0,48.79797418773941,0.0159224416706463,0.150677962873723,0,0,0,0
2025-05-01,8209962,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,44.82999999999999,7.105427357601002e-15,44.83,44.83,0,44.83,44.83,44.83,44.83,44.83,0,0,0,0,0,0,0,0,43.37895391945475,1.0648000949651637,-0.3198628000267591,0,0,0,0
2025-05-01,8307755,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,67.89999999999999,1.4210854715202004e-14,67.9,67.9,0,67.9,67.9,67.9,67.9,67.9,0,0,0,0,0,0,0,0,68.61403991792798,-0.7628193100257682,-0.7378702165559851,0,0,0,0
2025-05-01,8421837,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.900000000000002,3.552713678800501e-15,16.9,16.9,0,16.9,16.9,16.9,16.9,16.9,0,0,0,0,0,0,0,0,17.170759837891076,0.4818933008535351,-0.1287883037603214,0,0,0,0
2025-05-01,8421845,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,36.0,0.0,36.0,36.0,0,36.0,36.0,36.0,36.0,36.0,0,0,0,0,0,0,0,0,27.31163342526521,1.5436211074384272,0.1398591219844516,0,0,0,0
2025-05-01,8526452,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,16.0,0.0,16.0,16.0,0,16.0,16.0,16.0,16.0,16.0,0,0,0,0,0,0,0,0,14.997912179855478,0.8794519913186336,-0.1570322274815595,0,0,0,0
2025-05-01,8545329,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,10.900000000000002,1.7763568394002505e-15,10.9,10.9,0,10.9,10.9,10.9,10.9,10.9,0,0,0,0,0,0,0,0,10.963251216284602,-0.4046405625184543,-0.1456726867694824,0,0,0,0
2025-05-01,8755672,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,61.285714285714285,3.2166657854850573,58.5,65.0,0,65.0,58.5,65.0,65.0,65.0,0,0,0,0,0,0,0,0,63.048826692577656,1.4854541330815851,0.1431771235742214,0,0,0,0
2025-05-01,10700890033,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,47.76,0.0,47.76,47.76,0,47.76,47.76,47.76,47.76,47.76,0,0,0,0,0,0,0,0,47.720763488704,0.4270436400358525,-0.1852087702863771,0,0,0,0
2025-05-01,34294684846,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,59.89999999999999,7.105427357601002e-15,59.9,59.9,0,59.9,59.9,59.9,59.9,59.9,0,0,0,0,0,0,0,0,68.76706843902663,-3.233453140276188,-0.4817276999292884,0,0,0,0
2025-05-01,66148160288,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,77.88,0.0,77.88,77.88,0,77.88,77.88,77.88,77.88,77.88,0,0,0,0,0,0,0,0,77.94686321270262,0.0416430175632375,-0.1045606738998765,0,0,0,0
2025-05-01,69306580356,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,55.25,4.330127018922194,50.25,59.0,0,59.0,50.25,59.0,59.0,59.0,0,0,0,0,0,0,0,0,73.66399043196955,-14.090340771323048,-2.135775417802221,0,0,0,0
2025-05-01,69487371426,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,130.79999999999998,2.842170943040401e-14,130.8,130.8,0,130.8,130.8,130.8,130.8,130.8,0,0,0,0,0,0,0,0,131.12079956707913,0.3698387922225243,-0.3044291974716502,0,0,0,0
2025-05-01,100000318251,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,61.191428571428574,5.8637662898550795,51.92000000000001,64.9,0,64.9,51.92000000000001,64.9,64.9,64.9,0,0,0,0,0,0,0,0,78.18585344622139,-0.6799729745119607,0.5923399870909315,0,0,0,0
2025-05-01,100000671417,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,99.89999999999999,1.4210854715202004e-14,99.9,99.9,0,99.9,99.9,99.9,99.9,99.9,0,0,0,0,0,0,0,0,86.7400728130416,0.6645654270580096,0.937688689300776,0,0,0,0
2025-05-01,100000671427,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,89.89999999999999,1.4210854715202004e-14,89.9,89.9,0,89.9,89.9,89.9,89.9,89.9,0,0,0,0,0,0,0,0,88.50034688834629,-9.89909157821132,-2.2330456222092243,0,0,0,0
